Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 100 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. disappointingly generic nature  [ID: 65327]
388. young everlyn sampi , as the courageous molly craig ,  [ID: 9650]
 ##### 
389. a talented director  [ID: 16803]
 ##### 
390. all the queen 's men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen  [ID: 43045]
 ##### 
391. is a tired one ,  [ID: 16373]
 ##### 
392. with nothing original in the way of slapstick sequences  [ID: 62634]
 ##### 
393. becoming  [ID: 8948]
 ##### 
394. if you ever wanted to be an astronaut , this is the ultimate movie experience - it 's informative and breathtakingly spectacular .  [ID: 19351]
 ##### 
395. a buoyant romantic comedy about friendship , love , and the truth that we 're all in this together  [ID: 66547]
 ##### 
396. successful one  [ID: 8039]
 ##### 
397. is , in a word , brilliant as the conflicted daniel  [ID: 21114]
 ##### 
398. eight crazy nights is a total misfire .  [ID: 58847]
 ##### 
399. could n't someone take rob schneider and have him switch bodies with a funny person  [ID: 30626]
 ##### 
400. be thinking about going to see this movie  [ID: 5838]
 ##### 
401. a pretty funny movie , with most of the humor coming , as before , from the incongruous but chemically perfect teaming of crystal and de niro .  [ID: 12963]
 ##### 
402. nebrida  [ID: 25651]
 ##### 
403. sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .  [ID: 6269]
 ##### 
404. better vehicle  [ID: 51391]
 ##### 
405. bon appétit !  [ID: 18066]
 ##### 
406. pretty listless  [ID: 6728]
 ##### 
407. that characterizes better hip-hop clips and is content to recycle images and characters that were already tired 10 years ago  [ID: 26641]
 ##### 
408. a sexy , surprising romance ... idemoto and kim make a gorgeous pair ... their scenes brim with sexual possibility and emotional danger .  [ID: 38659]
 ##### 
409. un-bear-able '' project  [ID: 45798]
 ##### 
410. through a remarkable amount of material in the film 's short 90 minutes  [ID: 6255]
 ##### 
411. there 's a great deal of corny dialogue and preposterous moments .  [ID: 16691]
 ##### 
412. cool gadgets and creatures  [ID: 41519]
 ##### 
413. runteldat is something of a triumph .  [ID: 9612]
 ##### 
414. sensuality , and sympathy into a story about two adolescent boys  [ID: 5119]
 ##### 
415. equate to being good ,  [ID: 25306]
 ##### 
416. it did n't  [ID: 59250]
 ##### 
417. so far-fetched it would be impossible to believe if it were n't true  [ID: 60352]
 ##### 
418. an unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .  [ID: 18074]
 ##### 
419. in spite of all that he 's witnessed , remains surprisingly idealistic  [ID: 20848]
 ##### 
420. plateau  [ID: 53118]
 ##### 
421. badly edited , 91-minute trailer  [ID: 29366]
 ##### 
422. a heavyweight film  [ID: 66596]
 ##### 
423. sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing ,  [ID: 22677]
 ##### 
424. at least a few good ideas  [ID: 11435]
 ##### 
425. this new movie version of the alexandre dumas classic is the stuff of high romance , brought off with considerable wit .  [ID: 14106]
 ##### 
426. an enormous feeling  [ID: 27418]
 ##### 
427. will nevertheless find moving  [ID: 1017]
 ##### 
428. it 's a testament to de niro and director michael caton-jones that by movie 's end , we accept the characters and the film , flaws and all .  [ID: 4839]
 ##### 
429. a knowing sense of humor and a lot of warmth ignite son of the bride .  [ID: 7655]
 ##### 
430. the film 's hero is a bore  [ID: 53549]
 ##### 
431. sheds light  [ID: 2408]
 ##### 
432. there 's something vital about the movie .  [ID: 42613]
 ##### 
433. polished and vastly entertaining  [ID: 3493]
 ##### 
434. realistic '  [ID: 39504]
 ##### 
435. a great deal of thought  [ID: 42211]
 ##### 
436. in cannes offers rare insight into the structure of relationships .  [ID: 45751]
 ##### 
437. to the always hilarious meara and levy  [ID: 15853]
 ##### 
438. harks  [ID: 51280]
 ##### 
439. hide new secretions  [ID: 3437]
 ##### 
440. so many people put so much time and energy into this turkey  [ID: 40603]
 ##### 
441. in this dreary mess  [ID: 28978]
 ##### 
442. the delicious pulpiness of its lurid fiction  [ID: 3444]
 ##### 
443. simply because the movie is ugly to look at and not a hollywood product  [ID: 60049]
 ##### 
444. for self-deprecating comedy  [ID: 30582]
 ##### 
445. of unparalleled proportions , writer-director parker  [ID: 9929]
 ##### 
446. the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes  [ID: 8433]
 ##### 
447. warm and fuzzy  [ID: 64702]
 ##### 
448. to term an `` ambitious failure  [ID: 55735]
 ##### 
449. very compelling , sensitive , intelligent and almost cohesive  [ID: 7288]
 ##### 
450. the film never recovers from the clumsy cliché of the ugly american abroad  [ID: 36527]
 ##### 
451. energy , intelligence and verve  [ID: 39248]
 ##### 
452. bad direction  [ID: 49450]
 ##### 
453. scarily funny ,  [ID: 39385]
 ##### 
454. in the front ranks of china 's now numerous , world-renowned filmmakers  [ID: 6955]
 ##### 
455. has some of the funniest jokes of any movie this year ,  [ID: 31676]
 ##### 
456. am baffled by jason x.  [ID: 14294]
 ##### 
457. conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects  [ID: 23098]
 ##### 
458. tell almost immediately that welcome to collinwood is n't going to jell  [ID: 16191]
 ##### 
459. me want to get made-up and go see this movie with my sisters  [ID: 65549]
 ##### 
460. if anything , the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .  [ID: 27793]
 ##### 
461. you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie  [ID: 48718]
 ##### 
462. funniest and  [ID: 603]
 ##### 
463. love  [ID: 6140]
 ##### 
464. many of the things that made the first one charming  [ID: 1210]
 ##### 
465. the shameless self-caricature  [ID: 21373]
 ##### 
466. are really going to love the piano teacher  [ID: 33546]
 ##### 
467. of the audience award for documentaries at the sundance film festival  [ID: 14395]
 ##### 
468. what ( denis ) accomplishes in his chilling , unnerving film is a double portrait of two young women whose lives were as claustrophic , suffocating and chilly as the attics to which they were inevitably consigned .  [ID: 61086]
 ##### 
469. that the film opens with maggots crawling on a dead dog is not an out of place metaphor .  [ID: 37555]
 ##### 
470. has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil .  [ID: 27255]
 ##### 
471. sorvino  [ID: 17933]
 ##### 
472. this ludicrous film  [ID: 8085]
 ##### 
473. a family film  [ID: 15771]
 ##### 
474. there is no doubt that krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone .  [ID: 42694]
 ##### 
475. accept the characters and the film , flaws and all  [ID: 51251]
 ##### 
476. hanukkah  [ID: 4132]
 ##### 
477. a riveting profile of law enforcement , and a visceral , nasty journey into an urban hades .  [ID: 25766]
 ##### 
478. but one relentlessly depressing situation after another for its entire running time  [ID: 57183]
 ##### 
479. direct hit  [ID: 41282]
 ##### 
480. does n't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that  [ID: 26418]
 ##### 
481. fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent  [ID: 27444]
 ##### 
482. which proves that rohmer still has a sense of his audience  [ID: 32204]
 ##### 
483. a cheap thriller , a dumb comedy or  [ID: 32003]
 ##### 
484. the picture emerges as a surprisingly anemic disappointment .  [ID: 66716]
 ##### 
485. was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights  [ID: 33411]
 ##### 
486. friendly  [ID: 2464]
 ##### 
487. bubbles up out of john c. walsh 's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie  [ID: 12405]
 ##### 
488. is right at home in this french shocker playing his usual bad boy weirdo role .  [ID: 17766]
 ##### 
489. sluggish pace and lack  [ID: 3541]
 ##### 
490. joyous life  [ID: 6338]
 ##### 
491. excellent latin actors  [ID: 32076]
 ##### 
492. acts light on great scares and a good surprise ending  [ID: 42087]
 ##### 
493. smarter than your average bond .  [ID: 39867]
 ##### 
494. laid back  [ID: 46763]
 ##### 
495. 's good enough to be the purr  [ID: 15754]
 ##### 
496. that it ends up being surprisingly dull  [ID: 55977]
 ##### 
497. with his talent  [ID: 35578]
 ##### 
498. philippe , who makes oliver far more interesting than the character 's lines would suggest  [ID: 26596]
 ##### 
499. also happens to be the movie 's most admirable quality  [ID: 46672]
 ##### 
500. the observations  [ID: 19621]
 ##### 
501. camouflage how bad his movie is  [ID: 35736]
 ##### 
502. that it also makes her appear foolish and shallow rather than , as was more likely ,  [ID: 52056]
 ##### 
503. look back at civil disobedience , anti-war movements and the power of strong voices .  [ID: 15860]
 ##### 
504. works -  [ID: 23397]
 ##### 
505. interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor  [ID: 35841]
 ##### 
506. who , exactly , is fighting whom here  [ID: 10543]
 ##### 
507. ( lin chung 's ) voice is rather unexceptional , even  [ID: 24688]
 ##### 
508. of a summer-camp talent show : hastily written  [ID: 28654]
 ##### 
509. a man in drag is not in and of himself funny  [ID: 29581]
 ##### 
510. being bored  [ID: 42430]
 ##### 
511. to rescue me from a summer of teen-driven , toilet-humor codswallop  [ID: 59858]
 ##### 
512. the pacing is often way off and there are too many bona fide groaners among too few laughs .  [ID: 5305]
 ##### 
513. the giant screen and its hyper-realistic images  [ID: 27086]
 ##### 
514. shallow and  [ID: 8761]
 ##### 
515. , vibrant introduction  [ID: 11266]
 ##### 
516. in the end , tuck everlasting falls victim to that everlasting conundrum experienced by every human who ever lived : too much to do , too little time to do it in .  [ID: 5369]
 ##### 
517. the most fragmented charms  [ID: 51523]
 ##### 
518. lux , now in her eighties , does a great combination act as narrator , jewish grandmother and subject -- taking us through a film that is part biography , part entertainment and part history .  [ID: 63989]
 ##### 
519. starts off so bad  [ID: 31327]
 ##### 
520. be a huge cut of above the rest  [ID: 4102]
 ##### 
521. rekindles  [ID: 13476]
 ##### 
522. turned down  [ID: 658]
 ##### 
523. sufficiently  [ID: 35438]
 ##### 
524. as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators  [ID: 12034]
 ##### 
525. the film is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own .  [ID: 53764]
 ##### 
526. cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and  [ID: 15297]
 ##### 
527. oscar-sweeping  [ID: 57334]
 ##### 
528. sleep or bewildered by the artsy and often pointless visuals  [ID: 6662]
 ##### 
529. a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh  [ID: 49531]
 ##### 
530. because the consciously dumbed-down approach wears thin  [ID: 56661]
 ##### 
531. one of the best , most  [ID: 17466]
 ##### 
532. is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight  [ID: 63289]
 ##### 
533. the unnamed , easily substitutable forces  [ID: 20279]
 ##### 
534. romantic , riveting and handsomely  [ID: 21585]
 ##### 
535. in heaven  [ID: 34572]
 ##### 
536. thanks to great performances  [ID: 40374]
 ##### 
537. the situations and the dialogue spin hopelessly out of control -- that is to say  [ID: 66954]
 ##### 
538. marked an emerging indian american cinema  [ID: 65942]
 ##### 
539. in execution  [ID: 11806]
 ##### 
540. goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography  [ID: 4505]
 ##### 
541. cliches and pat storytelling  [ID: 62353]
 ##### 
542. enhanced by a surplus of vintage archive footage  [ID: 6498]
 ##### 
543. all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor .  [ID: 7693]
 ##### 
544. do n't need to know your ice-t 's from your cool-j 's to realize that as far as these shootings are concerned , something is rotten in the state of california  [ID: 30862]
 ##### 
545. this story about love and culture  [ID: 34071]
 ##### 
546. enigma is well-made , but it 's just too dry and too placid .  [ID: 12658]
 ##### 
547. more goodies  [ID: 19046]
 ##### 
548. almost completely dry of humor , verve and fun  [ID: 57815]
 ##### 
549. 'll find in this dreary mess  [ID: 43771]
 ##### 
550. make you put away the guitar , sell the amp , and apply to medical school  [ID: 31336]
 ##### 
551. the creative animation work  [ID: 3023]
 ##### 
552. every faltering half-step  [ID: 40046]
 ##### 
553. like done-to-death material  [ID: 5418]
 ##### 
554. `` simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .  [ID: 8193]
 ##### 
555. a very very strong `` b +  [ID: 19599]
 ##### 
556. at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .  [ID: 29227]
 ##### 
557. written a more credible script , though with the same number of continuity errors  [ID: 30112]
 ##### 
558. kept much of the plot  [ID: 35698]
 ##### 
559. the layered richness  [ID: 28544]
 ##### 
560. dishes out a ton of laughs that everyone can enjoy  [ID: 33461]
 ##### 
561. enthusiastically taking up the current teen movie concern with bodily functions , walt becker 's film pushes all the demographically appropriate comic buttons .  [ID: 9699]
 ##### 
562. a dud -- a romantic comedy that 's not the least bit romantic and only mildly funny  [ID: 4605]
 ##### 
563. the preachy  [ID: 10003]
 ##### 
564. ultimately worthwhile  [ID: 54769]
 ##### 
565. the kind of effectively creepy-scary thriller  [ID: 43849]
 ##### 
566. of a been-there , done-that sameness  [ID: 15298]
 ##### 
567. like many western action films , this thriller is too loud and thoroughly overbearing ,  [ID: 26269]
 ##### 
568. an appalling ` ace ventura ' rip-off that somehow manages to bring together kevin pollak , former wrestler chyna and dolly parton  [ID: 16877]
 ##### 
569. one hour photo lives down to its title .  [ID: 35629]
 ##### 
570. a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless  [ID: 18405]
 ##### 
571. of clams left in the broiling sun for a good three days  [ID: 22452]
 ##### 
572. delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans .  [ID: 58338]
 ##### 
573. ardently waste viewers ' time with a gobbler like this  [ID: 567]
 ##### 
574. the huskies are beautiful ,  [ID: 41101]
 ##### 
575. may be more genial than ingenious , but it gets the job done .  [ID: 472]
 ##### 
576. even accepting this in the right frame of mind can only provide it with so much leniency .  [ID: 3078]
 ##### 
577. many false scares  [ID: 41537]
 ##### 
578. the sorriest and  [ID: 64825]
 ##### 
579. too much of storytelling  [ID: 37545]
 ##### 
580. break  [ID: 53726]
 ##### 
581. a rather simplistic one : grief drives her , love drives him  [ID: 25600]
 ##### 
582. notwithstanding some of the writers ' sporadic dips  [ID: 1974]
 ##### 
583. godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ...  [ID: 30299]
 ##### 
584. improperly hammy performance  [ID: 43134]
 ##### 
585. surrounding us  [ID: 42541]
 ##### 
586. horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .  [ID: 56993]
 ##### 
587. a remarkably accessible and haunting film  [ID: 8920]
 ##### 
588. your favorite pet get buried alive  [ID: 64187]
 ##### 
589. very funny , very enjoyable ...  [ID: 6927]
 ##### 
590. both as a historical study and as a tragic love story  [ID: 37242]
 ##### 
591. even more indistinct  [ID: 50167]
 ##### 
592. flamboyant style  [ID: 8775]
 ##### 
593. uneasy  [ID: 33954]
 ##### 
594. a glib but bouncy bit of sixties-style slickness in which the hero might wind up caught but the audience gets pure escapism .  [ID: 63757]
 ##### 
595. gentle , lapping rhythms  [ID: 6470]
 ##### 
596. gets around to its real emotional business ,  [ID: 18873]
 ##### 
597. riveted to our seats .  [ID: 58128]
 ##### 
598. nutty cliches and far too much dialogue  [ID: 7176]
 ##### 
599. at least it 's a fairly impressive debut from the director , charles stone iii .  [ID: 43469]
 ##### 
600. this is a movie that refreshes the mind and spirit along with the body  [ID: 63998]
 ##### 
601. like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it .  [ID: 64271]
 ##### 
602. finds the ideal outlet for his flick-knife diction in the role of roger swanson  [ID: 27385]
 ##### 
603. to call this one an eventual cult classic would be an understatement ,  [ID: 20759]
 ##### 
604. are pitted against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting  [ID: 3544]
 ##### 
605. an entertaining british hybrid of comedy , caper thrills and quirky romance .  [ID: 1458]
 ##### 
606. the magnificent swooping aerial shots are breathtaking ,  [ID: 14269]
 ##### 
607. an admirable reconstruction of terrible events , and  [ID: 42540]
 ##### 
608. the fluid motion is astounding on any number of levels -- including the physical demands made on büttner -- and it implies in its wake the intractable , irreversible flow of history  [ID: 57146]
 ##### 
609. catastrophic collision  [ID: 28564]
 ##### 
610. an even less capable trio  [ID: 14446]
 ##### 
611. taking them  [ID: 31711]
 ##### 
612. take his smooth , shrewd , powerful act abroad  [ID: 54919]
 ##### 
613. a more annoying  [ID: 62809]
 ##### 
614. slow  [ID: 45062]
 ##### 
615. big stars and high production values are standard procedure  [ID: 5067]
 ##### 
616. is a rather toothless take on a hard young life  [ID: 55498]
 ##### 
617. a satisfactory overview of the bizarre world of extreme athletes as several daredevils  [ID: 27998]
 ##### 
618. wrapping the theater in a cold blanket of urban desperation  [ID: 66593]
 ##### 
619. a smutty guilty pleasure  [ID: 31894]
 ##### 
620. a true-blue delight .  [ID: 15535]
 ##### 
621. faster , livelier and  [ID: 56113]
 ##### 
622. engrossing piece  [ID: 20419]
 ##### 
623. this region and its inhabitants  [ID: 26649]
 ##### 
624. there , done that ... a thousand times already  [ID: 37531]
 ##### 
625. it might not be 1970s animation ,  [ID: 54095]
 ##### 
626. a faulty premise , one it follows into melodrama and silliness  [ID: 5024]
 ##### 
627. with intelligence and care  [ID: 12241]
 ##### 
628. remains fairly light , always entertaining , and smartly written .  [ID: 21155]
 ##### 
629. made me unintentionally famous  [ID: 58641]
 ##### 
630. solondz may be convinced that he has something significant to say , but he is n't talking a talk that appeals to me  [ID: 65806]
 ##### 
631. 's a terrible movie in every regard , and  [ID: 58146]
 ##### 
632. ultimately undo him  [ID: 3485]
 ##### 
633. clockstoppers if you have nothing better to do with 94 minutes  [ID: 22637]
 ##### 
634. 's a glorious spectacle like those d.w. griffith made in the early days of silent film  [ID: 29221]
 ##### 
635. struggles  [ID: 55885]
 ##### 
636. sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .  [ID: 40527]
 ##### 
637. how much he runs around and acts like a doofus  [ID: 24719]
 ##### 
638. incapable of controlling his crew  [ID: 43934]
 ##### 
639. the film 's constant mood of melancholy and its unhurried narrative are masterfully controlled .  [ID: 17865]
 ##### 
640. the result is a film that 's about as subtle as a party political broadcast  [ID: 10729]
 ##### 
641. the enjoyable undercover brother , a zany mix of saturday night live-style parody , '70s blaxploitation films and goofball action comedy gone wild ,  [ID: 20078]
 ##### 
642. admitted egomaniac  [ID: 46172]
 ##### 
643. very well-meaning  [ID: 42317]
 ##### 
644. writer and director burr steers knows the territory  [ID: 44188]
 ##### 
645. 's not a great monster movie .  [ID: 61675]
 ##### 
646. `` the dangerous lives of altar boys '' has flaws , but  [ID: 66546]
 ##### 
647. a low-budget affair , tadpole was shot on digital video , and the images often look smeary and blurry , to the point of distraction .  [ID: 2332]
 ##### 
648. the campaign-trail press  [ID: 50084]
 ##### 
649. its one good idea  [ID: 53918]
 ##### 
650. begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy  [ID: 44536]
 ##### 
651. a triumph , a film that hews out a world and carries us effortlessly from darkness to light .  [ID: 42835]
 ##### 
652. the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel .  [ID: 57022]
 ##### 
653. surprise family  [ID: 27166]
 ##### 
654. a script ( by paul pender ) made of wood  [ID: 34626]
 ##### 
655. ( and lovely  [ID: 53843]
 ##### 
656. waiting for godard can be fruitful : ` in praise of love ' is the director 's epitaph for himself .  [ID: 27899]
 ##### 
657. all of it works smoothly under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely .  [ID: 53318]
 ##### 
658. of demme 's good films  [ID: 37032]
 ##### 
659. lacks any real raw emotion , which is fatal for a film that relies on personal relationships  [ID: 58510]
 ##### 
660. check this one out  [ID: 66079]
 ##### 
661. of those rare pictures  [ID: 56543]
 ##### 
662. great performance  [ID: 18029]
 ##### 
663. inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening .  [ID: 43085]
 ##### 
664. the movie is certainly not number 1  [ID: 58811]
 ##### 
665. turns a blind eye to the very history it pretends to teach .  [ID: 24548]
 ##### 
666. mostly believable , refreshingly low-key  [ID: 23539]
 ##### 
667. maintaining a light touch  [ID: 51264]
 ##### 
668. very sluggish pace  [ID: 9658]
 ##### 
669. demented premise  [ID: 7952]
 ##### 
670. a tear-stained vintage shirley temple script  [ID: 35679]
 ##### 
671. wonderful life  [ID: 51893]
 ##### 
672. been done before but never so vividly  [ID: 17123]
 ##### 
673. does such a good job of it that family fundamentals gets you riled up  [ID: 10184]
 ##### 
674. , it might be like trying to eat brussels sprouts .  [ID: 17132]
 ##### 
675. opulent  [ID: 30064]
 ##### 
676. vibrance  [ID: 23224]
 ##### 
677. what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film  [ID: 45548]
 ##### 
678. independent-community guiding lights  [ID: 53960]
 ##### 
679. any real emotional impact  [ID: 46411]
 ##### 
680. propels her into the upper echelons of the directing world  [ID: 58145]
 ##### 
681. suspect that you 'll be as bored watching morvern callar as the characters are in it  [ID: 2526]
 ##### 
682. is gripping , as are the scenes of jia with his family  [ID: 48114]
 ##### 
683. a loud , brash and mainly unfunny high school comedy .  [ID: 23687]
 ##### 
684. positively thrilling combination  [ID: 31608]
 ##### 
685. the film runs on a little longer than it needs to -- muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but  [ID: 19162]
 ##### 
686. open  [ID: 59996]
 ##### 
687. lingerie models and bar dancers  [ID: 65664]
 ##### 
688. go wrong  [ID: 10175]
 ##### 
689. all as very important  [ID: 22991]
 ##### 
690. a thought-provoking picture .  [ID: 5913]
 ##### 
691. a solid , spooky entertainment  [ID: 65638]
 ##### 
692. all of the filmmakers ' calculations ca n't rescue brown sugar from the curse of blandness .  [ID: 53760]
 ##### 
693. a story that zings all the way through with originality , humor and pathos  [ID: 42347]
 ##### 
694. sitting in the third row of the imax cinema at sydney 's darling harbour , but i sometimes felt as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking and hovering over some of the most not  [ID: 8682]
 ##### 
695. not a good movie  [ID: 26002]
 ##### 
696. , with a solid cast ,  [ID: 16266]
 ##### 
697. than the first 30 or 40 minutes  [ID: 42811]
 ##### 
698. dull , brain-deadening hangover  [ID: 56125]
 ##### 
699. picked me up , swung me around ,  [ID: 24813]
 ##### 
700. the best sports movie  [ID: 43535]
 ##### 
701. turns a potentially interesting idea into an excruciating film  [ID: 60481]
 ##### 
702. is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets to fulfill her dreams  [ID: 18403]
 ##### 
703. you might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead .  [ID: 41598]
 ##### 
704. while you watch it , offering fine acting moments and pungent insights into modern l.a. 's show-biz and media  [ID: 45422]
 ##### 
705. pretentious types  [ID: 30488]
 ##### 
706. in welcome perspective  [ID: 3302]
 ##### 
707. this movie may not have the highest production values you 've ever seen ,  [ID: 56121]
 ##### 
708. went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside  [ID: 37428]
 ##### 
709. allow the suit to come to life  [ID: 40234]
 ##### 
710. in its splendor  [ID: 15317]
 ##### 
711. it might have held my attention ,  [ID: 46603]
 ##### 
712. through love  [ID: 48494]
 ##### 
713. most purely enjoyable and satisfying evenings  [ID: 42112]
 ##### 
714. lushly photographed and beautifully recorded .  [ID: 25781]
 ##### 
715. makes its message resonate  [ID: 50131]
 ##### 
716. a mess as this one  [ID: 2141]
 ##### 
717. hell is ) looking down at your watch and realizing serving sara is n't even halfway through .  [ID: 8686]
 ##### 
718. nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release .  [ID: 17172]
 ##### 
719. best man ''  [ID: 53529]
 ##### 
720. great party  [ID: 12159]
 ##### 
721. is still charming here .  [ID: 27633]
 ##### 
722. would n't make trouble every day any better  [ID: 4571]
 ##### 
723. heart  [ID: 45239]
 ##### 
724. excuse to eat popcorn  [ID: 56939]
 ##### 
725. of his most daring , and complicated , performances  [ID: 3756]
 ##### 
726. a slight but sweet film  [ID: 19774]
 ##### 
727. no art  [ID: 989]
 ##### 
728. it 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage .  [ID: 61435]
 ##### 
729. is n't it a bit early in his career for director barry sonnenfeld to do a homage to himself ?  [ID: 64358]
 ##### 
730. makes the right choices at every turn  [ID: 44375]
 ##### 
731. a bad improvisation exercise  [ID: 42377]
 ##### 
732. fringe feminist conspiracy theorist  [ID: 66138]
 ##### 
733. enlivens  [ID: 4897]
 ##### 
734. spiffy bluescreen technique and stylish weaponry  [ID: 5355]
 ##### 
735. through clever makeup design  [ID: 45865]
 ##### 
736. plotless  [ID: 26751]
 ##### 
737. laughingly  [ID: 45984]
 ##### 
738. most amazing super-sized dosage  [ID: 1294]
 ##### 
739. as graceful  [ID: 25157]
 ##### 
740. need to be invented to describe exactly how bad it is .  [ID: 27880]
 ##### 
741. united states  [ID: 32187]
 ##### 
742. one of the funniest motion pictures of the year , but  [ID: 41803]
 ##### 
743. is n't very interesting actually  [ID: 39913]
 ##### 
744. because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving  [ID: 23040]
 ##### 
745. the perfect movie  [ID: 566]
 ##### 
746. sumptuous work  [ID: 21708]
 ##### 
747. made on the cheap  [ID: 3151]
 ##### 
748. a sham  [ID: 23501]
 ##### 
749. translation : ` we do n't need to try very hard . '  [ID: 57673]
 ##### 
750. ` stock up on silver bullets for director neil marshall 's intense freight train of a film . '  [ID: 45589]
 ##### 
751. serving sara '' has n't much more to serve than silly fluff  [ID: 24069]
 ##### 
752. hypnotically dull , relentlessly downbeat  [ID: 49007]
 ##### 
753. funny ,  [ID: 23328]
 ##### 
754. cinematography to the outstanding soundtrack and unconventional narrative  [ID: 27189]
 ##### 
755. it looks closely , insightfully at fragile , complex relationships .  [ID: 18227]
 ##### 
756. , you know there 's something there .  [ID: 44233]
 ##### 
757. another , most of which involve precocious kids getting the better of obnoxious adults  [ID: 22468]
 ##### 
758. a majestic achievement , an epic of astonishing grandeur  [ID: 9232]
 ##### 
759. 've seen the hippie-turned-yuppie plot before  [ID: 1283]
 ##### 
760. you can almost see mendes and company getting together before a single frame had been shot and collectively vowing , ` this is going to be something really good . '  [ID: 26276]
 ##### 
761. beautifully crafted and  [ID: 33518]
 ##### 
762. as beautiful  [ID: 55824]
 ##### 
763. does n't completely survive its tonal transformation from dark comedy to suspense thriller  [ID: 39732]
 ##### 
764. gutter  [ID: 45921]
 ##### 
765. a bad sign in a thriller when you instantly know whodunit  [ID: 52498]
 ##### 
766. you can fire a torpedo through some of clancy 's holes ,  [ID: 47534]
 ##### 
767. moronic  [ID: 43928]
 ##### 
768. fallen under the sweet , melancholy spell of this unique director 's previous films  [ID: 54506]
 ##### 
769. got me grinning  [ID: 25516]
 ##### 
770. a sexy , peculiar and always entertaining costume drama set in renaissance spain , and the fact that it 's based on true events  [ID: 12006]
 ##### 
771. earnest , unsubtle and hollywood-predictable  [ID: 51225]
 ##### 
772. had a wonderful account to work from  [ID: 26454]
 ##### 
773. i do n't feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it 's a dish that 's best served cold .  [ID: 7303]
 ##### 
774. makes an amazing breakthrough in her first starring role and  [ID: 66128]
 ##### 
775. seen as hip ,  [ID: 33792]
