Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 60 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. the abiding impression  [ID: 52942]
377. sketchy with actorish notations on the margin of acting  [ID: 35818]
 ##### 
378. in addition to hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .  [ID: 62273]
 ##### 
379. nightmare  [ID: 12150]
 ##### 
380. fun with it  [ID: 46747]
 ##### 
381. i 'd rather watch a rerun of the powerpuff girls  [ID: 24125]
 ##### 
382. chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book  [ID: 53709]
 ##### 
383. puts flimsy flicks like this behind bars  [ID: 34849]
 ##### 
384. sit through , enjoy on a certain level and  [ID: 36205]
 ##### 
385. a fascinating documentary  [ID: 21209]
 ##### 
386. though there 's a clarity of purpose and even-handedness to the film 's direction  [ID: 18362]
 ##### 
387. lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy  [ID: 7628]
 ##### 
388. put away the guitar ,  [ID: 26763]
 ##### 
389. 's likely very little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know about rubbo 's dumbed-down tactics )  [ID: 11335]
 ##### 
390. i like all four of the lead actors a lot and they manage to squeeze a few laughs out of the material ,  [ID: 14259]
 ##### 
391. the perfect starting point  [ID: 11061]
 ##### 
392. fosters moments of spontaneous intimacy  [ID: 7126]
 ##### 
393. what 's most refreshing about real women have curves is its unforced comedy-drama and its relaxed , natural-seeming actors .  [ID: 35642]
 ##### 
394. is an object lesson in period filmmaking  [ID: 12870]
 ##### 
395. , poorly dubbed dialogue and murky cinematography  [ID: 8645]
 ##### 
396. goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy .  [ID: 42747]
 ##### 
397. lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .  [ID: 8773]
 ##### 
398. evans is ) a fascinating character , and deserves a better vehicle than this facetious smirk of a movie .  [ID: 58757]
 ##### 
399. beauty reeks  [ID: 12805]
 ##### 
400. too erotic  [ID: 19893]
 ##### 
401. evokes the bottom tier of blaxploitation flicks  [ID: 64795]
 ##### 
402. delightful little film  [ID: 23623]
 ##### 
403. to sibling reconciliation with flashes of warmth and gentle humor  [ID: 61855]
 ##### 
404. rumor  [ID: 25729]
 ##### 
405. nothing special  [ID: 2297]
 ##### 
406. more predictable than their consequences  [ID: 60820]
 ##### 
407. most likeable  [ID: 59593]
 ##### 
408. such a straightforward , emotionally honest manner that by the end  [ID: 61818]
 ##### 
409. a tough pill to swallow and  [ID: 38011]
 ##### 
410. fine performance  [ID: 59870]
 ##### 
411. what a film can be  [ID: 14920]
 ##### 
412. viscerally exciting  [ID: 12992]
 ##### 
413. authentic christmas spirit  [ID: 47154]
 ##### 
414. the characters are based on stock clichés  [ID: 5529]
 ##### 
415. families and church meetings  [ID: 47271]
 ##### 
416. lightweight filmmaking  [ID: 1250]
 ##### 
417. one of the most interesting writer/directors  [ID: 29216]
 ##### 
418. how to make us share their enthusiasm  [ID: 4825]
 ##### 
419. historically significant work  [ID: 4313]
 ##### 
420. throwing up his hands in surrender  [ID: 53603]
 ##### 
421. at times uncommonly moving  [ID: 14354]
 ##### 
422. a groundbreaking endeavor  [ID: 34214]
 ##### 
423. damon/bourne or  [ID: 37582]
 ##### 
424. our best achievements and  [ID: 31114]
 ##### 
425. shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience  [ID: 58061]
 ##### 
426. you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness  [ID: 60555]
 ##### 
427. something fishy  [ID: 41258]
 ##### 
428. wears its heart on the sleeve of its gaudy hawaiian shirt  [ID: 56062]
 ##### 
429. darned if it does n't also keep us riveted to our seats .  [ID: 15049]
 ##### 
430. the kind of sweet-and-sour insider movie that film buffs will eat up like so much gelati  [ID: 12248]
 ##### 
431. deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them  [ID: 32994]
 ##### 
432. retaining an integrity  [ID: 30005]
 ##### 
433. street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo  [ID: 33722]
 ##### 
434. the under-7 crowd  [ID: 2628]
 ##### 
435. a bottom-feeder sequel in the escape from new york series  [ID: 2872]
 ##### 
436. of motherhood deferred and desire  [ID: 30362]
 ##### 
437. , uncouth , incomprehensible , vicious and absurd  [ID: 54002]
 ##### 
438. an effectively chilling guilty pleasure  [ID: 43521]
 ##### 
439. cruel story  [ID: 2044]
 ##### 
440. a few nice twists in a standard plot  [ID: 15871]
 ##### 
441. with humorous observations about the general absurdity of modern life  [ID: 22737]
 ##### 
442. a solid , anguished performance that eclipses nearly everything else she 's ever done  [ID: 29769]
 ##### 
443. neither protagonist has a distinguishable condition  [ID: 15096]
 ##### 
444. expands the limits of what a film can be , taking us into the lives of women to whom we might not give a second look if we passed them on the street  [ID: 36523]
 ##### 
445. if you only had a week to live  [ID: 57996]
 ##### 
446. surprising discovery  [ID: 19709]
 ##### 
447. unbearable when it is n't merely offensive .  [ID: 44595]
 ##### 
448. one of cinema 's directorial giants  [ID: 14957]
 ##### 
449. well-told  [ID: 61176]
 ##### 
450. ( dong ) makes a valiant effort to understand everyone 's point of view ,  [ID: 16923]
 ##### 
451. , this is a movie that tells stories that work -- is charming , is moving  [ID: 46534]
 ##### 
452. far more interesting than the story at hand  [ID: 35577]
 ##### 
453. stifles creativity and allows the film to drag on for nearly three hours  [ID: 16262]
 ##### 
454. these lives count  [ID: 27058]
 ##### 
455. succeeds through sincerity .  [ID: 3920]
 ##### 
456. be forewarned , if you 're depressed about anything before watching this film , you may just end up trying to drown yourself in a lake afterwards .  [ID: 25144]
 ##### 
457. were n't as beautifully shaped and as delicately calibrated in tone  [ID: 50917]
 ##### 
458. a not-so-divine secrets  [ID: 17634]
 ##### 
459. of pure movie  [ID: 60248]
 ##### 
460. the color sense of stuart little 2  [ID: 38865]
 ##### 
461. a wretched movie that reduces the second world war to one man  [ID: 18697]
 ##### 
462. new zealand coming-of-age movie  [ID: 11338]
 ##### 
463. is that , by the end , no one in the audience or the film seems to really care .  [ID: 29362]
 ##### 
464. it one of the best war movies ever made  [ID: 66630]
 ##### 
465. poignant if familiar story of a young person suspended between two cultures .  [ID: 65358]
 ##### 
466. gender politics  [ID: 56582]
 ##### 
467. , it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work .  [ID: 16437]
 ##### 
468. lacking substance and soul , crossroads comes up shorter than britney 's cutoffs .  [ID: 37306]
 ##### 
469. the ya-ya 's have many secrets and one is - the books are better  [ID: 2581]
 ##### 
470. scott delivers a terrific performance in this fascinating portrait of a modern lothario .  [ID: 44925]
 ##### 
471. to ponder how a whole segment of pop-music history has been allowed to get wet , fuzzy and sticky  [ID: 22851]
 ##### 
472. , political intrigue , partisans and sabotage  [ID: 46577]
 ##### 
473. its success  [ID: 19887]
 ##### 
474. left with a story that tries to grab us , only to keep letting go at all the wrong moments  [ID: 34044]
 ##### 
475. , spielberg knows how to tell us about people .  [ID: 16083]
 ##### 
476. though it 's not very well shot or composed or edited  [ID: 59001]
 ##### 
477. offend  [ID: 11641]
 ##### 
478. 's a worthy entry in the french coming-of-age genre  [ID: 37591]
 ##### 
479. but the movie 's narrative hook is way too muddled to be an effectively chilling guilty pleasure .  [ID: 27784]
 ##### 
480. clotted with heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long  [ID: 722]
 ##### 
481. fits the bill perfectly  [ID: 59299]
 ##### 
482. well-formed  [ID: 58770]
 ##### 
483. resourceful amnesiac  [ID: 38616]
 ##### 
484. its almost too-spectacular coastal setting distracts slightly from an eccentric and good-naturedly aimless story .  [ID: 36796]
 ##### 
485. shot on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb  [ID: 21369]
 ##### 
486. the best advice  [ID: 45726]
 ##### 
487. a retread story , bad writing , and  [ID: 8600]
 ##### 
488. a sweet and modest  [ID: 42419]
 ##### 
489. successful one  [ID: 8039]
 ##### 
490. does a film so graceless and devoid of merit as this one come along  [ID: 16513]
 ##### 
491. think of this dog of a movie  [ID: 173]
 ##### 
492. bracing intelligence and a vision both painterly and literary  [ID: 22830]
 ##### 
493. engaging , imaginative filmmaking in its nearly 2 1/2  [ID: 66114]
 ##### 
494. especially well-executed television movie  [ID: 8325]
 ##### 
495. no better or worse than ` truth or consequences , n.m. ' or any other interchangeable actioner with imbecilic mafia  [ID: 64592]
 ##### 
496. provides an invaluable service  [ID: 23459]
 ##### 
497. , overall it 's an entertaining and informative documentary .  [ID: 49085]
 ##### 
498. are fantastic .  [ID: 14427]
 ##### 
499. secret ballot is a funny , puzzling movie ambiguous enough to be engaging and oddly moving .  [ID: 33467]
 ##### 
500. deceit  [ID: 22207]
 ##### 
501. by acute writing and a host of splendid performances  [ID: 21601]
 ##### 
502. stevens ' vibrant creative instincts  [ID: 6824]
 ##### 
503. just wants to be liked by the people who can still give him work .  [ID: 50801]
 ##### 
504. a bang-up job of pleasing the crowds  [ID: 60487]
 ##### 
505. secret ballot is a comedy , both gentle and biting  [ID: 53133]
 ##### 
506. tormented by his heritage  [ID: 30882]
 ##### 
507. insightful and  [ID: 56249]
 ##### 
508. was the unfulfilling , incongruous , `` wait a second  [ID: 37753]
 ##### 
509. is that the movie has no idea of it is serious or not  [ID: 8378]
 ##### 
510. got a house full of tots -- do n't worry  [ID: 15177]
 ##### 
511. convincing impersonation  [ID: 5783]
 ##### 
512. it plays everything too safe  [ID: 14615]
 ##### 
513. wholly unnecessary  [ID: 14257]
 ##### 
514. grows on you -- like a rash .  [ID: 19886]
 ##### 
515. captive by mediocrity .  [ID: 24109]
 ##### 
516. funny , somber , absurd , and , finally , achingly sad ,  [ID: 54081]
 ##### 
517. payami graphically illustrates the problems of fledgling democracies , but also the strength and sense of freedom the iranian people already possess , with or without access to the ballot box .  [ID: 29341]
 ##### 
518. a tap-dancing rhino  [ID: 2740]
 ##### 
519. an ugly , revolting movie  [ID: 18692]
 ##### 
520. going to make box office money that makes michael jordan jealous  [ID: 53071]
 ##### 
521. , deceit and murder  [ID: 11650]
 ##### 
522. a murder mystery that expands into a meditation on the deep deceptions of innocence  [ID: 23590]
 ##### 
523. a peculiar misfire that even tunney ca n't save .  [ID: 16670]
 ##### 
524. stylish psychological thriller  [ID: 63273]
 ##### 
525. is entirely too straight-faced  [ID: 64138]
 ##### 
526. birthday girl walks a tricky tightrope between being wickedly funny and just plain wicked .  [ID: 13043]
 ##### 
527. at last  [ID: 40636]
 ##### 
528. a movie just for friday fans , critics be damned .  [ID: 53932]
 ##### 
529. aggravating  [ID: 42053]
 ##### 
530. a gentle film  [ID: 50457]
 ##### 
531. sitcomishly predictable and cloying  [ID: 29888]
 ##### 
532. is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts .  [ID: 28342]
 ##### 
533. buoyant romantic comedy  [ID: 6347]
 ##### 
534. it has fun with the quirks of family life , but  [ID: 56553]
 ##### 
535. oblivious  [ID: 16534]
 ##### 
536. ugly ideas  [ID: 28367]
 ##### 
537. the movie 's progression  [ID: 61608]
 ##### 
538. eloquent film  [ID: 56251]
 ##### 
539. nifty twists  [ID: 37378]
 ##### 
540. cuba gooding jr. valiantly mugs his way through snow dogs , but even his boisterous energy fails to spark this leaden comedy  [ID: 52566]
 ##### 
541. recognized as the man who bilked unsuspecting moviegoers  [ID: 40659]
 ##### 
542. joyous films that leaps over national boundaries and celebrates universal human nature  [ID: 36232]
 ##### 
543. touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .  [ID: 8716]
 ##### 
544. modest  [ID: 45255]
 ##### 
545. , it 's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken .  [ID: 63103]
 ##### 
546. turned them into a 90-minute movie that feels five hours long  [ID: 53957]
 ##### 
547. starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and bruce willis with a scar  [ID: 42319]
 ##### 
548. a cut above the rest  [ID: 22546]
 ##### 
549. has such an irrepressible passion for sappy situations and dialogue  [ID: 17678]
 ##### 
550. helmer  [ID: 61966]
 ##### 
551. a few cheap shocks  [ID: 44149]
 ##### 
552. puts on airs of a hal hartley wannabe film -- without the vital comic ingredient of the hilarious writer-director himself .  [ID: 64103]
 ##### 
553. 's perfect for the proud warrior that still lingers in the souls of these characters  [ID: 16330]
 ##### 
554. cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin  [ID: 16821]
 ##### 
555. a family-oriented non-disney film that is actually funny without hitting below the belt  [ID: 34764]
 ##### 
556. who unfortunately works with a two star script  [ID: 45251]
 ##### 
557. it 's hardly watchable  [ID: 32746]
 ##### 
558. sinister inspiration  [ID: 30024]
 ##### 
559. it 's not too much of anything .  [ID: 36413]
 ##### 
560. slap her  [ID: 8971]
 ##### 
561. in their recklessness  [ID: 7617]
 ##### 
562. rank as one of the cleverest , most deceptively amusing comedies of the year  [ID: 45607]
 ##### 
563. soulful development  [ID: 10825]
 ##### 
564. a ripping good yarn  [ID: 47770]
 ##### 
565. terrific  [ID: 10308]
 ##### 
566. than a ` direct-to-video ' release  [ID: 45561]
 ##### 
567. , it demonstrates that werner herzog can still leave us with a sense of wonder at the diverse , marvelously twisted shapes history has taken .  [ID: 18626]
 ##### 
568. simultaneously heart-breaking and very funny  [ID: 63621]
 ##### 
569. several cliched movie structures : the road movie  [ID: 31166]
 ##### 
570. the poor quality  [ID: 55809]
 ##### 
571. spirited  [ID: 45619]
 ##### 
572. as if he or she has missed anything  [ID: 38996]
 ##### 
573. the world 's best actors ,  [ID: 15263]
 ##### 
574. a boring , pretentious muddle that uses a sensational , real-life 19th-century crime as a metaphor for -- well , i 'm not exactly sure what -- and has all the dramatic weight of a raindrop .  [ID: 8329]
 ##### 
575. , this remains a film about something , one that attempts and often achieves a level of connection and concern .  [ID: 24287]
 ##### 
576. 's definitely an improvement on the first blade ,  [ID: 38460]
 ##### 
577. is no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract  [ID: 41550]
 ##### 
578. one regards reign of fire with awe .  [ID: 45199]
 ##### 
579. broomfield 's style of journalism is hardly journalism at all ,  [ID: 62168]
 ##### 
580. a smashing success  [ID: 33834]
 ##### 
581. these things  [ID: 66369]
 ##### 
582. valiantly keep punching up the mix .  [ID: 21396]
 ##### 
583. works its magic with such exuberance and passion that the film 's length becomes a part of its fun .  [ID: 11074]
 ##### 
584. alexandre dumas classic  [ID: 43710]
 ##### 
585. of awakening and ripening  [ID: 15663]
 ##### 
586. utilizes the idea of making kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work  [ID: 18328]
 ##### 
587. it 's far from a frothy piece , and the characters are complex , laden with plenty of baggage and tinged with tragic undertones .  [ID: 57360]
 ##### 
588. more mindless drivel  [ID: 45171]
 ##### 
589. it dabbles all around , never gaining much momentum .  [ID: 11854]
 ##### 
590. more entertaining ,  [ID: 63975]
 ##### 
591. of the company 's astonishing growth  [ID: 33485]
 ##### 
592. unfortunately , is a little too in love with its own cuteness  [ID: 57290]
 ##### 
593. said , except : film overboard !  [ID: 63950]
 ##### 
594. nights feels more like a quickie tv special than a feature film ...  [ID: 67214]
 ##### 
595. lost its edge  [ID: 8805]
 ##### 
596. is a gentle film with dramatic punch , a haunting ode to humanity  [ID: 31381]
 ##### 
597. its pulpy core conceit  [ID: 15150]
 ##### 
598. i like all four of the lead actors a lot  [ID: 52852]
 ##### 
599. as the very best of them  [ID: 5318]
 ##### 
600. crummy  [ID: 56857]
 ##### 
601. , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision  [ID: 34281]
 ##### 
602. the plotting here leaves a lot to be desired  [ID: 15864]
 ##### 
603. little $ 1.8 million charmer  [ID: 47602]
 ##### 
604. that was n't all that great to begin with  [ID: 64924]
 ##### 
605. with inventive cinematic tricks and an ironically killer soundtrack  [ID: 7959]
 ##### 
606. ... wallace is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams .  [ID: 15902]
 ##### 
607. the misery of these people  [ID: 60088]
 ##### 
608. intriguing story  [ID: 44337]
 ##### 
609. fast-paced  [ID: 37003]
 ##### 
610. as action-adventure , this space-based homage to robert louis stevenson 's treasure island fires on all plasma conduits .  [ID: 20366]
 ##### 
611. should not be missed  [ID: 59308]
 ##### 
612. to make of this italian freakshow  [ID: 9350]
 ##### 
613. oscar-caliber performances  [ID: 33707]
 ##### 
614. about one thing is a small gem .  [ID: 37817]
 ##### 
615. provocative piece  [ID: 28621]
 ##### 
616. , 91-minute trailer  [ID: 32528]
 ##### 
617. this nicholas nickleby finds itself in reduced circumstances -- and  [ID: 2425]
 ##### 
618. there is plenty of room for editing , and  [ID: 47176]
 ##### 
619. and , perhaps paradoxically , illuminated  [ID: 28423]
 ##### 
620. i must have failed  [ID: 34579]
 ##### 
621. to please its intended audience -- children -- without placing their parents in a coma-like state  [ID: 19091]
 ##### 
622. with humor , warmth , and intelligence , captures a life interestingly lived  [ID: 62175]
 ##### 
623. represents a worthy departure from the culture clash comedies that have marked an emerging indian american cinema  [ID: 28171]
 ##### 
624. an unsuccessful attempt at a movie of ideas  [ID: 11505]
 ##### 
625. incessant  [ID: 1879]
 ##### 
626. graced with the kind of social texture and realism that would be foreign in american teen comedies .  [ID: 26006]
 ##### 
627. sneaks up on the viewer , providing an experience that is richer than anticipated  [ID: 38855]
 ##### 
628. so , i trust  [ID: 10666]
 ##### 
629. is quite a vision .  [ID: 7002]
 ##### 
630. 's because relatively nothing happens .  [ID: 32105]
 ##### 
631. balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem  [ID: 59094]
 ##### 
632. wisdom and humor  [ID: 54307]
 ##### 
633. having a hard time believing people were paid to make it  [ID: 61359]
 ##### 
634. is n't really one of resources  [ID: 50337]
 ##### 
635. to a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes  [ID: 24941]
 ##### 
636. so bad it does n't improve upon the experience of staring at a blank screen  [ID: 9116]
 ##### 
637. brought something fresher to the proceedings  [ID: 48340]
 ##### 
638. may be the first cartoon ever to look as if it were being shown on the projection television screen of a sports bar .  [ID: 35749]
 ##### 
639. , it feels more forced than usual .  [ID: 38016]
 ##### 
640. always the prettiest pictures that tell the best story  [ID: 57222]
 ##### 
641. easy to swallow ,  [ID: 16675]
 ##### 
642. is an odd but ultimately satisfying blend of the sophomoric and the sublime .  [ID: 30892]
 ##### 
643. the high-concept scenario soon proves preposterous , the acting is robotically italicized , and  [ID: 61203]
 ##### 
644. famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .  [ID: 739]
 ##### 
645. an exhilarating new interpretation  [ID: 11465]
 ##### 
646. is shockingly bad and absolutely unnecessary  [ID: 19664]
 ##### 
647. few sequels  [ID: 38674]
 ##### 
648. the perfectly pitched web  [ID: 58799]
 ##### 
649. is often very funny  [ID: 12687]
 ##### 
650. wastes its time on mood rather than riding with the inherent absurdity of ganesh 's rise up the social ladder  [ID: 9174]
 ##### 
651. on its own , it 's not very interesting .  [ID: 63642]
 ##### 
652. an impressive style  [ID: 9184]
 ##### 
653. of his most daring , and complicated , performances  [ID: 3756]
 ##### 
654. amusing  [ID: 9285]
 ##### 
655. bottom-rung new jack city wannabe .  [ID: 3615]
 ##### 
656. an artist who is simply tired  [ID: 28927]
 ##### 
657. of nijinsky  [ID: 56117]
 ##### 
658. the most important and exhilarating forms  [ID: 14054]
 ##### 
659. are lukewarm and quick to pass .  [ID: 7217]
 ##### 
660. what saves it ... and makes it  [ID: 55941]
 ##### 
661. genre thrills  [ID: 48265]
 ##### 
662. entertaining movie  [ID: 55484]
 ##### 
663. which may be why it works as well as it does  [ID: 16871]
 ##### 
664. not even steven spielberg has dreamed up such blatant and sickening product placement in a movie .  [ID: 16045]
 ##### 
665. rich in shadowy metaphor  [ID: 52064]
 ##### 
666. even more important  [ID: 28384]
 ##### 
667. is so rich with period minutiae it 's like dying and going to celluloid heaven .  [ID: 24686]
 ##### 
668. of people who sadly are at hostile odds with one another through recklessness and retaliation  [ID: 11543]
 ##### 
669. is completely at sea  [ID: 55020]
 ##### 
670. zings all the way through with originality , humor and pathos  [ID: 15187]
 ##### 
671. the same way goodall did , with a serious minded patience , respect and affection  [ID: 15143]
 ##### 
672. cast is painful to watch  [ID: 47110]
 ##### 
673. this predictable romantic comedy should get a pink slip  [ID: 25380]
 ##### 
674. works - mostly due to its superior cast of characters  [ID: 50809]
 ##### 
675. there are some fairly unsettling scenes  [ID: 45285]
 ##### 
676. energetic frontman  [ID: 27748]
 ##### 
677. knockoff .  [ID: 10019]
 ##### 
678. that are so crucial to the genre and another first-rate performance by top-billed star bruce willis  [ID: 64556]
 ##### 
679. pacino is the best he 's been in years and  [ID: 43328]
 ##### 
680. surprises you  [ID: 50816]
 ##### 
681. great scares and a good surprise ending  [ID: 65630]
 ##### 
682. an earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .  [ID: 33949]
 ##### 
683. with a hard-to-swallow premise  [ID: 55449]
 ##### 
684. the annoyance  [ID: 55976]
 ##### 
685. fincher takes no apparent joy in making movies , and  [ID: 16107]
 ##### 
686. the real masterpiece  [ID: 36458]
 ##### 
687. oddly colorful and  [ID: 4553]
 ##### 
688. more accomplished  [ID: 10717]
 ##### 
689. riveting profile  [ID: 60031]
 ##### 
690. a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past  [ID: 36156]
 ##### 
691. paints a grand picture of an era  [ID: 53086]
 ##### 
692. too often into sugary sentiment and withholds delivery on the pell-mell  [ID: 15894]
 ##### 
693. seagal  [ID: 14319]
 ##### 
694. 's just one that could easily wait for your pay per view dollar .  [ID: 36718]
 ##### 
695. of their time ( including mine ) on something very inconsequential  [ID: 16181]
 ##### 
696. is smart  [ID: 18714]
 ##### 
697. shiver-inducing  [ID: 55834]
 ##### 
698. 's an ambitious film  [ID: 63881]
 ##### 
699. , harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore .  [ID: 51082]
 ##### 
700. , the film retains ambiguities that make it well worth watching .  [ID: 292]
 ##### 
701. the dull  [ID: 33885]
 ##### 
702. a worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits roll .  [ID: 13762]
 ##### 
703. absurd lengths  [ID: 5650]
 ##### 
704. laugh-out-loud  [ID: 40582]
 ##### 
705. 's coherent , well shot , and tartly acted  [ID: 25493]
 ##### 
706. remains brightly optimistic ,  [ID: 43556]
 ##### 
707. like a living-room war of the worlds , gaining most of its unsettling force from the suggested and the unknown  [ID: 60946]
 ##### 
708. are too many bona fide groaners among too few laughs  [ID: 51641]
 ##### 
709. it amounts to little more than preliminary notes for a science-fiction horror film  [ID: 48666]
 ##### 
710. portrays young brendan with his usual intelligence and subtlety  [ID: 41260]
 ##### 
711. a brilliant movie  [ID: 24951]
 ##### 
712. the sad schlock merchant  [ID: 28200]
 ##### 
713. sustain a reasonable degree of suspense  [ID: 53981]
 ##### 
714. fans of plympton 's shorts may marginally enjoy the film  [ID: 12790]
 ##### 
715. the junk-calorie suspense tropes that have all but ruined his career  [ID: 27855]
 ##### 
716. sonny needs to overcome gaps in character development and story logic  [ID: 9761]
 ##### 
717. of lingerie models and bar dancers  [ID: 45959]
 ##### 
718. a terrible adaptation  [ID: 31574]
 ##### 
719. , sweaty-palmed fun  [ID: 22562]
 ##### 
720. instead of trying to bust some blondes , ( diggs ) should be probing why a guy with his talent ended up in a movie this bad .  [ID: 39707]
 ##### 
721. in an increasingly important film industry and worth the look  [ID: 30132]
 ##### 
722. horrible pains  [ID: 23386]
 ##### 
723. 's about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic .  [ID: 2248]
 ##### 
724. grant is certainly amusing  [ID: 48679]
 ##### 
725. , like me , think an action film disguised as a war tribute is disgusting to begin with  [ID: 56444]
 ##### 
726. is a divine monument to a single man 's struggle to regain his life , his dignity and his music .  [ID: 23805]
 ##### 
727. that is the central flaw of the film  [ID: 23984]
 ##### 
728. wasted nearly two hours of your own precious life  [ID: 46691]
 ##### 
729. , you 'll wait in vain for a movie to happen .  [ID: 41011]
 ##### 
730. offbeat sensibilities  [ID: 32433]
 ##### 
731. sophisticated and unsentimental treatment  [ID: 62293]
 ##### 
732. as saccharine as it is disposable .  [ID: 8038]
 ##### 
733. all round , but what really sets the film apart is debrauwer 's refusal to push the easy emotional buttons  [ID: 54255]
 ##### 
734. it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , and  [ID: 46633]
 ##### 
735. into an urban hades  [ID: 61523]
 ##### 
736. might actually want to watch  [ID: 46784]
 ##### 
737. atrocities  [ID: 5731]
 ##### 
738. you 're burnt out on it 's a wonderful life marathons and bored with a christmas carol  [ID: 16233]
 ##### 
739. a whale of a good time for both children and parents  [ID: 8337]
 ##### 
740. is supremely unfunny and unentertaining to watch middle-age  [ID: 25167]
 ##### 
741. giving it a strong thumbs up  [ID: 57080]
 ##### 
742. are some fairly unsettling scenes  [ID: 33448]
 ##### 
743. closer to the failure of the third revenge of the nerds sequel  [ID: 42862]
 ##### 
744. story for those intolerant of the more common saccharine genre  [ID: 5012]
 ##### 
745. a smart , steamy mix of road movie , coming-of-age story and political satire .  [ID: 59873]
 ##### 
746. contains all the substance of a twinkie -- easy to swallow , but scarcely nourishing  [ID: 55656]
 ##### 
747. is on his way to becoming the american indian spike lee .  [ID: 65238]
 ##### 
748. makes sense , with its unbelievable naïveté and arbitrary flashbacks  [ID: 31868]
 ##### 
749. is a copy of a copy of a copy  [ID: 28267]
 ##### 
750. sincerely  [ID: 36647]
 ##### 
751. the hearts of animation enthusiasts of all ages  [ID: 42019]
 ##### 
752. , sketchy characters and immature provocations can fully succeed at cheapening it .  [ID: 53587]
 ##### 
753. , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .  [ID: 48479]
 ##### 
754. combustible mixture  [ID: 3130]
 ##### 
755. beautiful ,  [ID: 13065]
 ##### 
756. featuring an oscar-worthy performance  [ID: 7488]
 ##### 
757. an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form  [ID: 38270]
 ##### 
758. excellent music  [ID: 31379]
 ##### 
759. debut can be accused of being a bit undisciplined  [ID: 55171]
 ##### 
760. is top shelf  [ID: 58055]
 ##### 
761. it would fit chan like a $ 99 bargain-basement special .  [ID: 1229]
 ##### 
762. grand a failure  [ID: 45760]
 ##### 
763. the film did n't convince me that calvin jr. 's barbershop represents some sort of beacon of hope in the middle of chicago 's south side .  [ID: 57904]
 ##### 
764. by a sloppy script  [ID: 48166]
 ##### 
765. going out and enjoying the big-screen experience  [ID: 43217]
 ##### 
766. 've completely  [ID: 13964]
 ##### 
767. frequently veers into corny sentimentality , probably  [ID: 54942]
 ##### 
768. be patient with the lovely hush  [ID: 41439]
 ##### 
769. he has n't lost his touch , bringing off a superb performance in an admittedly middling film  [ID: 39613]
 ##### 
770. as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover  [ID: 20081]
 ##### 
771. efteriades gives the neighborhood -- scenery , vibe and all -- the cinematic equivalent of a big , tender hug .  [ID: 8087]
 ##### 
772. get weird ,  [ID: 4968]
