Consider yourself in the position of an active learning component to help a human annotator. You have to choose the instances that the annotator has to label. You are given a set of instances of a dataset. You can only choose 20 instances. Please think step by step about what you would do to select the instances to label. After this provide the list of instances that you would label, separated by a comma. For example, if you would label the instances 1, 4, 5 then the output should be: 1, 4, 5 The following instances are given to you (seperated with "\n ##### \n"): 

 ##### 
0. our moviemakers  [ID: 40625]
 ##### 
382. after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here , it 's a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen .  [ID: 11212]
 ##### 
383. is neither dramatic nor comic  [ID: 34571]
 ##### 
384. can not overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities  [ID: 24193]
 ##### 
385. punctuated by sudden shocks  [ID: 17066]
 ##### 
386. you wrong on both counts  [ID: 64032]
 ##### 
387. its digs at modern society are all things we 've seen before .  [ID: 3692]
 ##### 
388. , retrospectively , his most personal work yet .  [ID: 30481]
 ##### 
389. a little more intensity and a little less charm would have saved this film a world of hurt .  [ID: 63695]
 ##### 
390. titillating material  [ID: 10502]
 ##### 
391. it gives poor dana carvey nothing to do that is really funny ,  [ID: 24218]
 ##### 
392. great over-the-top moviemaking if you 're in a slap-happy mood  [ID: 12872]
 ##### 
393. done in mostly by a weak script that ca n't support the epic treatment  [ID: 34881]
 ##### 
394. 3000  [ID: 52195]
 ##### 
395. 's already done way too often  [ID: 60121]
 ##### 
396. audacity and openness  [ID: 49079]
 ##### 
397. the level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we 've long associated with washington the actor .  [ID: 13444]
 ##### 
398. like being able to hit on a 15-year old when you 're over 100  [ID: 16409]
 ##### 
399. using an endearing cast , writer/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred .  [ID: 13381]
 ##### 
400. anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer  [ID: 37739]
 ##### 
401. unlikely to be appreciated by anyone outside the under-10 set  [ID: 33201]
 ##### 
402. still rapturous after all these years  [ID: 40301]
 ##### 
403. a sharp movie  [ID: 31604]
 ##### 
404. individual moments of mood , and an aimlessness that 's actually sort of amazing  [ID: 53618]
 ##### 
405. settles too easily  [ID: 39201]
 ##### 
406. grinds itself out  [ID: 16585]
 ##### 
407. offers just enough sweet and traditional romantic comedy to counter the crudity .  [ID: 12351]
 ##### 
408. that jack nicholson makes this man so watchable is a tribute not only to his craft , but to his legend .  [ID: 11103]
 ##### 
409. tiresome  [ID: 50577]
 ##### 
410. what the english call ` too clever by half  [ID: 46186]
 ##### 
411. utter mush ... conceited pap .  [ID: 20864]
 ##### 
412. thought it was going to be  [ID: 14490]
 ##### 
413. the worst sense of the expression  [ID: 50883]
 ##### 
414. meticulously uncovers a trail of outrageous force and craven concealment .  [ID: 7140]
 ##### 
415. he brings together  [ID: 16827]
 ##### 
416. sandler running on empty , repeating what he 's already done way too often  [ID: 37030]
 ##### 
417. gooding is the energetic frontman  [ID: 41808]
 ##### 
418. , obnoxious  [ID: 45846]
 ##### 
419. had the misfortune to watch in quite some time  [ID: 36604]
 ##### 
420. a children 's film in the truest sense  [ID: 63248]
 ##### 
421. riveted to our seats  [ID: 31953]
 ##### 
422. hollywood war-movie stuff  [ID: 57186]
 ##### 
423. god bless crudup and his aversion to taking the easy hollywood road and cashing in on his movie-star  [ID: 16892]
 ##### 
424. heartfelt romance  [ID: 45473]
 ##### 
425. a mess from start to finish  [ID: 60581]
 ##### 
426. director claude chabrol has become the master of innuendo .  [ID: 503]
 ##### 
427. our imagination  [ID: 60047]
 ##### 
428. a pressure cooker of horrified awe  [ID: 65112]
 ##### 
429. winning , heartwarming yarn  [ID: 32226]
 ##### 
430. a reminder of how they used to make movies , but also how they sometimes still can be made .  [ID: 43749]
 ##### 
431. hampered -- no , paralyzed -- by a self-indulgent script  [ID: 33212]
 ##### 
432. twenty-first  [ID: 46748]
 ##### 
433. dime-store ruminations  [ID: 534]
 ##### 
434. the incessant use  [ID: 60356]
 ##### 
435. dreamlike ecstasy  [ID: 9773]
 ##### 
436. rethink their attitudes when they see the joy the characters take in this creed  [ID: 10159]
 ##### 
437. are of the highest and the performances  [ID: 3298]
 ##### 
438. invested in undergraduate doubling subtexts and ridiculous stabs  [ID: 20359]
 ##### 
439. derivative elements into something that is often quite rich and exciting , and always a beauty to behold  [ID: 53451]
 ##### 
440. it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes  [ID: 40031]
 ##### 
441. there 's no place for this story to go but down  [ID: 65557]
 ##### 
442. dredge up  [ID: 50341]
 ##### 
443. most colorful and controversial  [ID: 27511]
 ##### 
444. cage makes an unusual but pleasantly haunting debut behind the camera .  [ID: 35602]
 ##### 
445. remaining one of the most savagely hilarious social critics this side of jonathan swift  [ID: 59585]
 ##### 
446. spaces both large ... and small ... with considerable aplomb  [ID: 38663]
 ##### 
447. a radiant character portrait  [ID: 31856]
 ##### 
448. a sense-of-humour failure  [ID: 24759]
 ##### 
449. a silly comedy  [ID: 30880]
 ##### 
450. 's better than the phantom menace .  [ID: 7262]
 ##### 
451. in this simple , sweet and romantic comedy  [ID: 37880]
 ##### 
452. crude and unrelentingly exploitative  [ID: 10371]
 ##### 
453. lacks in depth  [ID: 8508]
 ##### 
454. while the last metro ) was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history .  [ID: 15238]
 ##### 
455. spirals downward  [ID: 53426]
 ##### 
456. is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself .  [ID: 10571]
 ##### 
457. ... standard guns versus martial arts cliche with little new added .  [ID: 66835]
 ##### 
458. would probably be duking it out with the queen of the damned for the honor .  [ID: 51093]
 ##### 
459. the most opaque , self-indulgent and just plain goofy an excuse for a movie as you can imagine .  [ID: 46811]
 ##### 
460. 's a rock-solid little genre picture  [ID: 40924]
 ##### 
461. is a superior horror flick .  [ID: 59941]
 ##### 
462. living far too much  [ID: 6966]
 ##### 
463. most important and exhilarating forms  [ID: 6022]
 ##### 
464. unequivocally  [ID: 66886]
 ##### 
465. ever released by a major film studio .  [ID: 9838]
 ##### 
466. , runteldat is something of a triumph .  [ID: 50776]
 ##### 
467. dramas like this make it human .  [ID: 52601]
 ##### 
468. love the robust middle of this picture  [ID: 19147]
 ##### 
469. evocative shades  [ID: 37408]
 ##### 
470. really belongs with any viewer forced to watch him try out so many complicated facial expressions  [ID: 33942]
 ##### 
471. great charm , generosity and diplomacy  [ID: 53219]
 ##### 
472. an overripe episode of tv 's dawson 's creek and a recycled and dumbed-down version of love story  [ID: 23430]
 ##### 
473. high water mark  [ID: 17883]
 ##### 
474. bears a grievous but obscure complaint against fathers  [ID: 51709]
 ##### 
475. scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar .  [ID: 17650]
 ##### 
476. , dumb  [ID: 4137]
 ##### 
477. a lasting impression  [ID: 42168]
 ##### 
478. despite the opulent lushness of every scene  [ID: 14031]
 ##### 
479. astonishing  [ID: 51924]
 ##### 
480. thought that the german film industry can not make a delightful comedy centering on food .  [ID: 2592]
 ##### 
481. the only type of lives this glossy comedy-drama resembles are ones in formulaic mainstream movies .  [ID: 24148]
 ##### 
482. and crude humor  [ID: 55587]
 ##### 
483. ugliness  [ID: 20909]
 ##### 
484. in fast-edit , hopped-up fashion  [ID: 52352]
 ##### 
485. upbeat ending  [ID: 3311]
 ##### 
486. is to reduce everything he touches to a shrill , didactic cartoon  [ID: 29260]
 ##### 
487. neil burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present  [ID: 48501]
 ##### 
488. impenetrable and  [ID: 14801]
 ##### 
489. 's not too fast and not too slow .  [ID: 56862]
 ##### 
490. is insightful about kissinger 's background and history .  [ID: 58597]
 ##### 
491. she has n't been worth caring about  [ID: 37403]
 ##### 
492. in the simple telling , proves simultaneously harrowing and uplifting  [ID: 28485]
 ##### 
493. 's no rooting interest  [ID: 4889]
 ##### 
494. extraordinary debut from josh koury .  [ID: 4358]
 ##### 
495. goes a long way toward keeping the picture compelling  [ID: 25562]
 ##### 
496. strong script  [ID: 17680]
 ##### 
497. uncompromising , difficult and  [ID: 53934]
 ##### 
498. almost shakespearean -- both in depth and breadth --  [ID: 25869]
 ##### 
499. so mind-numbingly awful that you hope britney wo n't do it one more time , as far as movies are concerned .  [ID: 56411]
 ##### 
500. is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action  [ID: 44779]
 ##### 
501. balances both traditional or modern stories together  [ID: 11895]
 ##### 
502. itself -- as well its delightful cast -- is so breezy  [ID: 12148]
 ##### 
503. , undisputed scores a direct hit .  [ID: 2346]
 ##### 
504. this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question ` why ? '  [ID: 19558]
 ##### 
505. a thriller  [ID: 60472]
 ##### 
506. be remembered as one of ( witherspoon 's ) better films  [ID: 36320]
 ##### 
507. an appealing blend of counter-cultural idealism and hedonistic creativity  [ID: 21771]
 ##### 
508. the predictable parent vs. child coming-of-age theme  [ID: 43436]
 ##### 
509. oodles of charm  [ID: 2016]
 ##### 
510. funny , subtle , and resonant  [ID: 15601]
 ##### 
511. at its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture .  [ID: 13451]
 ##### 
512. cliché-riddled  [ID: 43806]
 ##### 
513. you 'd do well to check this one out because it 's straight up twin peaks action ...  [ID: 44266]
 ##### 
514. splendidly  [ID: 33104]
 ##### 
515. a searing , epic treatment of a nationwide blight that seems to be ,  [ID: 61073]
 ##### 
516. you could just rent those movies instead , let alone seek out a respectable new one  [ID: 2541]
 ##### 
517. distance it from the pack of paint-by-number romantic comedies  [ID: 28373]
 ##### 
518. , scratch is great fun , full of the kind of energy it 's documenting .  [ID: 31480]
 ##### 
519. where the film ultimately fails  [ID: 20786]
 ##### 
520. the outstanding thrillers of recent years  [ID: 54336]
 ##### 
521. remarkable piece  [ID: 31020]
 ##### 
522. the visuals , even erotically frank ones ,  [ID: 3305]
 ##### 
523. does an impressive job of relating the complicated history of the war and  [ID: 48993]
 ##### 
524. the film sparkles with the the wisdom and humor of its subjects .  [ID: 45724]
 ##### 
525. to the point of ridiculousness  [ID: 31346]
 ##### 
526. what could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .  [ID: 3790]
 ##### 
527. a rather brilliant little cult item : a pastiche of children 's entertainment , superhero comics , and japanese animation .  [ID: 44954]
 ##### 
528. a staggeringly compelling character ,  [ID: 58163]
 ##### 
529. the biggest disappointments  [ID: 6655]
 ##### 
530. every effort to disguise it as an unimaginative screenwriter 's invention  [ID: 31690]
 ##### 
531. of his top-notch creative team  [ID: 59746]
 ##### 
532. captain  [ID: 5154]
 ##### 
533. turgid  [ID: 50160]
 ##### 
534. there 's a heavy stench of ` been there , done that ' hanging over the film .  [ID: 24333]
 ##### 
535. it was just a matter of ` eh . '  [ID: 40698]
 ##### 
536. a been-there , done-that sameness  [ID: 29195]
 ##### 
537. a powerful , naturally dramatic piece of low-budget filmmaking  [ID: 26353]
 ##### 
538. not all that bad of a movie  [ID: 34627]
 ##### 
539. painful to watch  [ID: 18511]
 ##### 
540. loquacious  [ID: 7282]
 ##### 
541. lets her character become a caricature -- not even with that radioactive hair  [ID: 63766]
 ##### 
542. something wholly original  [ID: 29395]
 ##### 
543. could be a single iota worse ... a soulless hunk of exploitative garbage .  [ID: 55218]
 ##### 
544. the best of them  [ID: 40162]
 ##### 
545. would force you to give it a millisecond of thought  [ID: 36740]
 ##### 
546. the movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .  [ID: 44296]
 ##### 
547. that would make it the darling of many a kids-and-family-oriented cable channel  [ID: 38743]
 ##### 
548. fierce grace  [ID: 26003]
 ##### 
549. such an irrepressible passion for sappy situations and dialogue  [ID: 24770]
 ##### 
550. though many of these guys are less than adorable  [ID: 872]
 ##### 
551. marvelous first 101 minutes  [ID: 36423]
 ##### 
552. lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .  [ID: 35774]
 ##### 
553. the few ` cool ' actors who never seems aware of his own coolness  [ID: 17777]
 ##### 
554. put a human face on the travail of thousands of vietnamese  [ID: 3055]
 ##### 
555. also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss  [ID: 17430]
 ##### 
556. stylists  [ID: 29862]
 ##### 
557. hampered -- no , paralyzed -- by a self-indulgent script ...  [ID: 496]
 ##### 
558. an eloquent , deeply felt meditation on the nature of compassion  [ID: 30507]
 ##### 
559. the film is never dull  [ID: 10775]
 ##### 
560. penetrating ,  [ID: 27707]
 ##### 
561. remains the most wondrous of all hollywood fantasies -- and the apex of steven spielberg 's misunderstood career  [ID: 18036]
 ##### 
562. seems embarrassed by his own invention and  [ID: 25089]
 ##### 
563. disreputable  [ID: 18731]
 ##### 
564. too little  [ID: 63981]
 ##### 
565. gosling creates a staggeringly compelling character , a young man whose sharp intellect is at the very root of his contradictory , self-hating , self-destructive ways .  [ID: 9219]
 ##### 
566. highly spirited  [ID: 36322]
 ##### 
567. does pack some serious suspense  [ID: 9143]
 ##### 
568. lacking substance and soul , crossroads comes up shorter than britney 's cutoffs .  [ID: 37306]
 ##### 
569. it 's a rushed , slapdash , sequel-for-the-sake - of-a-sequel with less than half  [ID: 13983]
 ##### 
570. ` fatal script error  [ID: 50683]
 ##### 
571. the visual panache , the comic touch , and  [ID: 7900]
 ##### 
572. enactments , however fascinating they may be as history , are too crude to serve the work especially well  [ID: 39151]
 ##### 
573. has improved upon the first and taken it a step further , richer and deeper  [ID: 22685]
 ##### 
574. to drown a viewer in boredom than to send any shivers down his spine  [ID: 54588]
 ##### 
575. donovan ... squanders his main asset , jackie chan  [ID: 19867]
 ##### 
576. particularly well made  [ID: 11203]
 ##### 
577. happy , heady jumble  [ID: 19075]
 ##### 
578. experimentation and improvisation  [ID: 4609]
 ##### 
579. the bard as black comedy -- willie would have loved it .  [ID: 11887]
 ##### 
580. cherish would 've worked a lot better had it been a short film .  [ID: 29746]
 ##### 
581. their way around this movie directionless , lacking any of the rollicking dark humor so necessary  [ID: 16497]
 ##### 
582. i can easily imagine benigni 's pinocchio becoming a christmas perennial .  [ID: 52097]
 ##### 
583. has a real filmmaker 's eye  [ID: 38882]
 ##### 
584. his character 's deceptions ultimately undo him  [ID: 46348]
 ##### 
585. especially well-executed television movie  [ID: 8325]
 ##### 
586. from its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale  [ID: 48971]
 ##### 
587. to enjoy the perfectly pitched web of tension that chabrol spins  [ID: 55961]
 ##### 
588. laughed  [ID: 5402]
 ##### 
589. enough to provide the pleasures of a slightly naughty , just-above-average off - broadway play  [ID: 37790]
 ##### 
590. a disaster of a drama  [ID: 56019]
 ##### 
591. who approaches his difficult , endless work with remarkable serenity and discipline .  [ID: 51640]
 ##### 
592. it look as though they are having so much fun  [ID: 22153]
 ##### 
593. the high-concept scenario soon proves preposterous , the acting is robotically italicized , and truth-in-advertising hounds take note  [ID: 8597]
 ##### 
594. sincere performance  [ID: 52035]
 ##### 
595. highly uneven and  [ID: 11188]
 ##### 
596. the way home  [ID: 62828]
 ##### 
597. gives out  [ID: 50074]
 ##### 
598. like the best 60 minutes  [ID: 39088]
 ##### 
599. 's plenty to offend everyone  [ID: 1577]
 ##### 
600. whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau  [ID: 14280]
 ##### 
601. watching disney scrape the bottom of its own cracker barrel  [ID: 47432]
 ##### 
602. continuity errors  [ID: 36490]
 ##### 
603. have a radar for juicy roles  [ID: 21127]
 ##### 
604. it 's a big idea , but the film itself is small and shriveled  [ID: 4873]
 ##### 
605. a powerful , chilling , and affecting study of one man 's dying fall .  [ID: 37010]
 ##### 
606. similarly ill-timed  [ID: 50588]
 ##### 
607. in all its strange quirks  [ID: 10069]
 ##### 
608. most hackneyed  [ID: 65265]
 ##### 
609. a truly larger-than-life character  [ID: 60710]
 ##### 
610. may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother  [ID: 40735]
 ##### 
611. it takes chances that are bold by studio standards  [ID: 15823]
 ##### 
612. stale ,  [ID: 51539]
 ##### 
613. that not only blockbusters pollute the summer movie pool  [ID: 19342]
 ##### 
614. remarkable for its excellent storytelling , its economical , compressed characterisations and for its profound humanity  [ID: 55782]
 ##### 
615. ( washington 's ) strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene .  [ID: 40726]
 ##### 
616. observed character piece .  [ID: 46122]
 ##### 
617. less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) .  [ID: 29945]
 ##### 
618. for most movies , 84 minutes is short  [ID: 34086]
 ##### 
619. proves that director m. night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo .  [ID: 67279]
 ##### 
620. is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams  [ID: 36716]
 ##### 
621. finely crafted ,  [ID: 41565]
 ##### 
622. think this movie loves women at all  [ID: 18452]
 ##### 
623. nice album  [ID: 51452]
 ##### 
624. it is hard to resist  [ID: 41020]
 ##### 
625. of french hip-hop , which also seems to play on a 10-year delay  [ID: 12685]
 ##### 
626. much of what we see is horrible but  [ID: 39352]
 ##### 
627. like the excruciating end of days  [ID: 60914]
 ##### 
628. forget its absurdity .  [ID: 5033]
 ##### 
629. an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces  [ID: 28149]
 ##### 
630. in an increasingly important film industry and  [ID: 23409]
 ##### 
631. too skewed to ever get a hold on  [ID: 2923]
 ##### 
632. with fewer gags to break the tedium .  [ID: 40587]
 ##### 
633. have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies  [ID: 6114]
 ##### 
634. it 's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .  [ID: 9431]
 ##### 
635. bartleby is a fine , understated piece of filmmaking .  [ID: 65703]
 ##### 
636. should give `` scratch '' a second look  [ID: 38478]
 ##### 
637. that it can not even be dubbed hedonistic .  [ID: 30662]
 ##### 
638. a negligible british comedy .  [ID: 62545]
 ##### 
639. horrible .  [ID: 3661]
 ##### 
640. , but also more than anything else slight ... tadpole pulls back from the consequences of its own actions and revelations .  [ID: 10317]
 ##### 
641. it 's packed with adventure and a worthwhile environmental message , so it 's great for the kids  [ID: 18827]
 ##### 
642. of fresh air  [ID: 13176]
 ##### 
643. a good music documentary  [ID: 5412]
 ##### 
644. terrific performances , great to look at , and funny .  [ID: 27188]
 ##### 
645. 're simply not funny performers  [ID: 29064]
 ##### 
646. find a spark of its own  [ID: 18055]
 ##### 
647. its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie 's presentation , which is way too stagy .  [ID: 45267]
 ##### 
648. depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being .  [ID: 12751]
 ##### 
649. the relationships were wonderful  [ID: 16973]
 ##### 
650. 's not enough intelligence , wit or innovation on the screen to attract and sustain an older crowd  [ID: 30441]
 ##### 
651. echo of allusions  [ID: 31210]
 ##### 
652. the best little `` horror '' movie  [ID: 54313]
 ##### 
653. the film offers an intriguing what-if premise .  [ID: 54033]
 ##### 
654. do n't work in concert .  [ID: 38925]
 ##### 
655. reviewers  [ID: 24330]
 ##### 
656. run out of gas  [ID: 27735]
 ##### 
657. a little old-fashioned storytelling  [ID: 20346]
 ##### 
658. illuminates  [ID: 24190]
 ##### 
659. and damaged dreams  [ID: 61555]
 ##### 
660. an action film that delivers on the promise of excitement  [ID: 24147]
 ##### 
661. a small fortune in salaries and stunt cars  [ID: 58862]
 ##### 
662. juiced with enough energy and excitement  [ID: 34823]
 ##### 
663. a highly spirited , imaginative kid 's movie  [ID: 34350]
 ##### 
664. as giddy and whimsical and relevant today as it was 270 years ago .  [ID: 38297]
 ##### 
665. would look like something like this  [ID: 5859]
 ##### 
666. a powerful entity  [ID: 33523]
 ##### 
667. but a great one  [ID: 49714]
 ##### 
668. distinctly sub-par ... more likely to drown a viewer in boredom than to send any shivers down his spine .  [ID: 42335]
 ##### 
669. dominate a family  [ID: 49456]
 ##### 
670. a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one  [ID: 49232]
 ##### 
671. to a satisfying destination  [ID: 44858]
 ##### 
672. clever and funny  [ID: 32944]
 ##### 
673. that pretends to be passionate and truthful but is really frustratingly timid and soggy  [ID: 53785]
 ##### 
674. classic cinema served up with heart and humor  [ID: 28433]
 ##### 
675. right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner  [ID: 13818]
 ##### 
676. most enjoyable releases  [ID: 43993]
 ##### 
677. ` top of the world '  [ID: 59006]
 ##### 
678. those films that started with a great premise and then just fell apart  [ID: 61910]
 ##### 
679. me no lika da accents so good , but i thoroughly enjoyed the love story  [ID: 4169]
 ##### 
680. if the film is well-crafted and this one is  [ID: 32129]
 ##### 
681. in its attempts  [ID: 10932]
 ##### 
682. `` sorority boys '' was funnier , and that movie was pretty bad  [ID: 26031]
 ##### 
683. another routine hollywood frightfest in which the slack execution italicizes the absurdity of the premise  [ID: 42324]
 ##### 
684. , baroque beauty  [ID: 19799]
 ##### 
685. generosity  [ID: 38873]
 ##### 
686. brutal and funny  [ID: 16324]
 ##### 
687. its exploitive array of obligatory cheap  [ID: 11058]
 ##### 
688. the four feathers is definitely horse feathers , but  [ID: 56610]
 ##### 
689. generates plot points with a degree of randomness usually achieved only by lottery drawing .  [ID: 59407]
 ##### 
690. more playful  [ID: 39601]
 ##### 
691. a blast of adrenalin  [ID: 38836]
 ##### 
692. 's as entertaining  [ID: 47730]
 ##### 
693. seem genuine rather than pandering  [ID: 15315]
 ##### 
694. straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company  [ID: 19128]
 ##### 
695. more simply intrusive to the story  [ID: 42449]
 ##### 
696. frantic , virulent and foul-natured  [ID: 59490]
 ##### 
697. , i 'd rather watch them on the animal planet .  [ID: 39922]
 ##### 
698. like getting all excited about a chocolate eclair and then biting into it and finding the filling missing  [ID: 50659]
 ##### 
699. in three words : thumbs friggin ' down  [ID: 52908]
 ##### 
700. i liked about schmidt a lot , but i have a feeling that i would have liked it much more if harry & tonto never existed  [ID: 44743]
 ##### 
701. a grating , emaciated flick  [ID: 34912]
 ##### 
702. takashi miike keeps pushing the envelope : ichi the killer  [ID: 42528]
 ##### 
703. mediocre special effects  [ID: 32800]
 ##### 
704. better acted -- and far less crass - than some other recent efforts in the burgeoning genre of films about black urban professionals  [ID: 24646]
 ##### 
705. the premise of jason x is silly but strangely believable .  [ID: 5085]
 ##### 
706. an unusually dry-eyed , even analytical approach to material that is generally  [ID: 16194]
 ##### 
707. a captivating new film .  [ID: 18304]
 ##### 
708. for most of the film it is hard to tell who is chasing who or why  [ID: 25664]
 ##### 
709. of an ignored people  [ID: 61563]
 ##### 
710. from his usual bumbling , tongue-tied screen persona  [ID: 46193]
 ##### 
711. of magic and whimsy for children , a heartfelt romance for teenagers and a compelling argument about death , both pro and con , for adults  [ID: 41285]
 ##### 
712. its awkward structure and  [ID: 5379]
 ##### 
713. self-indulgent and  [ID: 67049]
 ##### 
714. a dazzling , remarkably unpretentious reminder of what ( evans ) had , lost , and got back  [ID: 7390]
 ##### 
715. a film with a great premise but only a great premise  [ID: 20824]
 ##### 
716. ignore  [ID: 26804]
 ##### 
717. sports extravaganza  [ID: 3712]
 ##### 
718. will forgive any shoddy product as long as there 's a little girl-on-girl action  [ID: 29671]
 ##### 
719. shyamalan offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes .  [ID: 40515]
 ##### 
720. is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller  [ID: 27045]
 ##### 
721. it 's mildly interesting to ponder the peculiar american style of justice that plays out here , but it 's so muddled and derivative that few will bother thinking it all through .  [ID: 59217]
 ##### 
722. often surprising  [ID: 66802]
 ##### 
723. if the suspense never rises to a higher level  [ID: 30860]
 ##### 
724. witless ,  [ID: 28218]
 ##### 
725. kung pow seems like some futile concoction that was developed hastily after oedekerk and  [ID: 16528]
 ##### 
726. finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for .  [ID: 51563]
 ##### 
727. , eileen walsh , an engaging , wide-eyed actress whose teeth are a little too big for her mouth , infuses the movie with much of its slender , glinting charm .  [ID: 25080]
 ##### 
728. sit in neutral  [ID: 48593]
 ##### 
729. nothing wrong with performances here , but the whiney characters bugged me .  [ID: 6052]
 ##### 
730. fails to fascinate  [ID: 4509]
 ##### 
731. the weight of too many story lines  [ID: 39168]
 ##### 
732. is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice .  [ID: 17847]
 ##### 
733. a streetwise mclaughlin group  [ID: 2234]
 ##### 
734. the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ; their parents , wise folks that they are , read books .  [ID: 10475]
 ##### 
735. the powerful success of read my lips with such provocative material  [ID: 61035]
 ##### 
736. chillingly effective  [ID: 37584]
 ##### 
737. close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air .  [ID: 53329]
 ##### 
738. two marvelously  [ID: 46300]
 ##### 
739. is left with a sour taste in one 's mouth , and little else  [ID: 46985]
 ##### 
740. ( a ) painfully flat gross-out comedy ...  [ID: 65483]
 ##### 
741. way off  [ID: 11851]
 ##### 
742. is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell  [ID: 9669]
 ##### 
743. all awkward ,  [ID: 62824]
 ##### 
744. be best forgotten  [ID: 45113]
 ##### 
745. the expressive power  [ID: 6032]
 ##### 
746. will enjoy .  [ID: 50976]
 ##### 
747. passionate  [ID: 15891]
 ##### 
748. four-star  [ID: 43098]
 ##### 
749. moving and vibrant  [ID: 60791]
 ##### 
750. you 'd be hard put to find a movie character more unattractive or odorous ( than leon ) .  [ID: 67278]
 ##### 
751. all too familiar  [ID: 51649]
 ##### 
752. told with competence  [ID: 20125]
 ##### 
753. recovering from its demented premise  [ID: 37605]
 ##### 
754. it is a copy of a copy of a copy  [ID: 28173]
 ##### 
755. a modest masterpiece .  [ID: 9197]
 ##### 
756. seems endless  [ID: 45694]
 ##### 
757. the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids .  [ID: 1555]
 ##### 
758. you have to give the audience a reason to want to put for that effort  [ID: 57312]
 ##### 
759. worth your time  [ID: 49144]
 ##### 
760. some good , organic character work  [ID: 38719]
 ##### 
761. in trouble every day  [ID: 17357]
 ##### 
762. a clever script and  [ID: 34964]
 ##### 
763. the sleekness of the film 's present  [ID: 45119]
 ##### 
764. how they make their choices , and  [ID: 38863]
 ##### 
765. conveys the passion , creativity , and fearlessness of one of mexico 's most colorful and controversial artists -- a captivating drama that will speak to the nonconformist in us all  [ID: 52889]
 ##### 
766. the most wondrous love story in years , it is a great film .  [ID: 959]
 ##### 
767. that plays like a 95-minute commercial for nba properties  [ID: 34438]
 ##### 
768. to be bored by as your abc 's  [ID: 18650]
 ##### 
769. inventive screenplay  [ID: 10611]
 ##### 
770. deny its seriousness and quality  [ID: 63456]
 ##### 
771. mixed-up films  [ID: 63627]
 ##### 
772. to this engaging mix of love and bloodletting  [ID: 47658]
 ##### 
773. mr. spielberg and his company just want you to enjoy yourselves without feeling conned .  [ID: 35594]
 ##### 
774. the movie is n't painfully bad , something to be ` fully experienced ' ; it 's just tediously bad , something to be fully forgotten .  [ID: 10945]
 ##### 
775. of lingerie models and bar dancers  [ID: 45959]
 ##### 
